Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C23","4.7nF","C_0805",149.700000,-88.550000,90.000000,bottom
"C24","100nF","C_0805",156.600000,-88.550000,90.000000,bottom
"J1","Connector, USB-TYPE-C-16P","TYPE-C-SMD_HX-TYPE-C-16PIN",153.150000,-139.100000,180.000000,bottom
"U6","A1304ELHLX-T","SOT-23-3_L3.0-W1.9-P0.95-LS2.9-BL",153.150000,-88.400000,180.000000,bottom
"C1","4.7nF","C_0402",134.799999,-109.000000,90.000000,top
"C2","100nF","C_0402",125.550001,-114.400000,90.000000,top
"C3","100nF","C_0402",127.049999,-107.000000,0.000000,top
"C4","100nF","C_0402",135.050000,-107.500000,0.000000,top
"C5","100nF","C_0402",127.200000,-115.999999,0.000000,top
"C6","4.7uF","C_0603",124.300000,-114.900000,90.000000,top
"C7","10nF","C_0402",131.549999,-117.362500,180.000000,top
"C8","1uF","C_0402",131.550000,-119.000000,180.000000,top
"C9","1uF","C_0402",131.550000,-120.600000,180.000000,top
"C10","1uF","C_0402",125.795001,-126.010000,-90.000000,top
"C11","10pF","C_0402",126.700000,-117.600001,0.000000,top
"C12","1uF","C_0402",149.800000,-133.400000,-90.000000,top
"C13","10pF","C_0402",129.019999,-120.300000,90.000000,top
"C14","TCN4107M035R0100E","CAP-SMD_L7.3-W6.1_TCN4227M025R0100",180.096878,-127.796878,-45.000000,top
"C15","1uF","C_0402",166.519359,-129.519359,135.000000,top
"C16","100nF","C_0402",164.919359,-130.319359,-135.000000,top
"C17","100nF","C_0402",165.669359,-131.069359,-135.000000,top
"C18","1uF","C_0402",166.419359,-127.719359,-45.000000,top
"C19","100nF","C_0402",161.712563,-133.116386,0.000000,top
"C20","1uF","C_0402",161.700000,-134.300000,0.000000,top
"C21","1uF","C_0402",164.300000,-137.800000,-90.000000,top
"C22","1uF","C_0402",159.039340,-137.700001,-90.000000,top
"C25","1uF","C_0402",147.150000,-135.850000,-90.000000,top
"C26","2.2uF","C_0603",147.150000,-138.600000,90.000000,top
"C28","100nF","C_0402",152.350000,-83.800000,0.000000,top
"C31","1uF","C_0402",177.700000,-106.000000,45.000000,top
"C32","10nF","C_0402",175.014214,-118.242893,-45.000000,top
"C33","100nF","C_0805",181.550000,-118.400000,45.000000,top
"C34","100nF","C_0805",184.350000,-115.600000,45.000000,top
"C35","100nF","C_0805",179.050000,-120.000000,135.000000,top
"D1","Red","D_0603",137.350000,-129.700000,-90.000000,top
"D3","Green","D_0805",153.150000,-139.000000,180.000000,top
"FB1","120R","FB_0603",133.350000,-119.800000,-90.000000,top
"Q1","2N7002","Q_SOT-23",141.890000,-129.679999,180.000000,top
"Q3","CJL2623","SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR",162.200000,-137.100000,-90.000000,top
"R1","10kΩ","R_0402",130.800000,-121.700000,180.000000,top
"R2","10kΩ","R_0402",119.700000,-112.900000,-90.000000,top
"R4","5.1kΩ","R_0603",171.180019,-121.658699,135.000000,top
"R5","2.4kΩ","R_0603",170.119359,-122.719359,-45.000000,top
"R6","5.1kΩ","R_0603",169.019359,-125.119359,135.000000,top
"R7","2.4kΩ","R_0603",168.019359,-126.119359,-45.000000,top
"R8","5.1kΩ","R_0603",168.926466,-119.412252,-45.000000,top
"R9","2.4kΩ","R_0603",167.865806,-120.472912,135.000000,top
"R10","2.4kΩ","R_0603",164.539531,-122.639531,135.000000,top
"R12","10kΩ","R_0402",159.950000,-137.700000,-90.000000,top
"R13","1kΩ","R_0402",163.800000,-139.800000,0.000000,top
"R14","1kΩ","R_0402",164.965805,-125.719359,-135.000000,top
"R16","120Ω","R_0603",139.100000,-129.700000,-90.000000,top
"R18","1kΩ","R_0603",135.550000,-120.650000,0.000000,top
"R19","10kΩ","R_0402",175.950000,-107.800000,45.000000,top
"R20","10kΩ","R_0603",144.640000,-129.679999,90.000000,top
"R21","47Ω","R_0402",156.100000,-139.500000,90.000000,top
"R22","2.4kΩ","R_0402",120.900001,-109.200001,-90.000000,top
"R23","2.4kΩ","R_0402",121.950001,-109.200001,-90.000000,top
"R24","2.4kΩ","R_0402",123.000000,-109.200000,-90.000000,top
"R25","10kΩ","R_0402",136.350000,-118.550000,90.000000,top
"SW1","KMR223GLFG","SW-SMD_5P-L4.2-W2.8-P1.60-LS4.6-TR",129.195001,-126.810000,180.000000,top
"SW2","KMR223GLFG","SW-SMD_5P-L4.2-W2.8-P1.60-LS4.6-TR",153.150000,-133.400000,180.000000,top
"U1","CYPD3177-24LQXQT","QFN24_CYPD3177-24LQXQT_INF",162.265805,-128.319359,-135.000000,top
"U2","DRV8313PWPR","HTSSOP-28_L9.8-W4.5-P0.65-LS6.6-BL-EP",177.850000,-113.200000,45.000000,top
"U3","TLV76133DCYR","SOT-223-4_L6.5-W3.5-P2.30-LS7.0-TR",141.900000,-135.500000,90.000000,top
"U4","STM32F411CEU6","STM32F411CEU6",130.050000,-111.500000,90.000000,top
"U5","AS5047P-ATSM","TSSOP-14_L5.0-W4.4-P0.65-LS6.4-BL",153.150000,-88.400000,0.000000,top
"X2","X322516MLB4SI","OSC-SMD_4P-L3.2-W2.5-BL",126.720000,-120.200001,90.000000,top
